h,MPAProp_0,MPAProp_0.1,MPAProp_0.2,MPAProp_0.3,MPAProp_0.4,MPAProp_0.5,MPAProp_0.6,MPAProp_0.7,MPAProp_0.8
0,0,0,0,0,0,0,0,0,0
0.01,5185.361424,4665.147574,4144.933671,3624.716387,3104.495572,2584.381661,2064.692803,1545.781062,1028.456341
0.02,9600.074216,8635.90596,7671.736138,6707.510215,5743.073221,4778.617367,3814.939722,2853.133548,1895.752267
0.03,13332.90136,11995.90486,10658.89992,9321.628124,7983.257924,6643.569068,5303.379708,3964.752403,2632.352814
0.04,16451.70028,14810.13651,13168.54336,11526.09708,9880.135934,8228.985716,6572.651887,4914.665949,3262.092966
0.05,19006.19017,17127.88342,15249.49232,13368.84274,11479.25303,9576.048061,7657.638256,5730.224214,3803.796545
0.06,21028.8482,18984.17014,16939.27126,14888.97115,12818.76074,10719.22662,8587.109345,6433.567381,4272.455825
0.07,22533.55151,20399.62519,18265.14232,16118.45028,13931.02791,11687.65388,9384.953805,7042.729592,4680.104072
0.08,23510.89747,21378.25998,19244.22576,17083.38797,14843.87672,12506.15126,10071.11392,7572.481282,5036.469188
0.09,23918.13767,21902.2297,19882.75348,17805.12237,15581.56366,13196.0092,10662.30982,8034.98015,5349.468698
0.1,23662.4604,21923.40935,20175.08068,18301.42123,16165.58936,13775.58775,11172.60899,8440.279496,5625.588112
0.11,22593.4008,21360.84557,20105.40052,18588.17189,16615.37913,14260.78334,11613.8801,8796.728593,5870.172542
0.12,20567.69887,20136.78036,19658.84637,18681.82883,16948.83044,14665.39359,11996.15881,9111.290273,6087.653125
0.13,17506.24597,18218.48378,18840.71393,18602.20706,17182.69061,15001.40373,12327.94555,9389.79435,6281.724035
0.14,13491.74705,15656.79308,17685.9984,18374.18737,17332.72752,15279.21439,12616.45006,9637.140936,6455.481748
0.15,9420.34437,12898.40598,16280.36008,18027.27576,17413.69686,15507.82723,12867.79382,9857.464295,6611.535258
0.16,6113.438161,10496.018,14818.61426,17593.90524,17439.17107,15695.0018,13087.17889,10054.26548,6752.093816
0.17,3671.802655,8607.300276,13502.91768,17107.78986,17421.33262,15847.39387,13279.02947,10230.52009,6879.037153
0.18,2020.155155,7224.172818,12414.23092,16602.4038,17370.82005,15970.68132,13447.11133,10388.76623,6993.971988
0.19,1022.021276,6283.35544,11553.20154,16108.1995,17296.66745,16069.68121,13594.63261,10531.1764,7098.277733
0.2,486.1367458,5683.306514,10898.38936,15648.36394,17206.3359,16148.45892,13724.32933,10659.61663,7193.143645
0.21,221.4058832,5309.273759,10414.84623,15236.16384,17105.81583,16210.42927,13838.53772,10775.69515,7279.599178
0.22,97.49062495,5072.508096,10060.78593,14875.82414,16999.77664,16258.44908,13939.25551,10880.80261,7358.538893
0.23,41.73403869,4916.269895,9798.785881,14565.50534,16891.7427,16294.90042,14028.19382,10976.14548,7430.743
0.24,17.59055849,4807.231219,9600.343367,14300.23054,16784.27875,16321.76441,14106.82098,11062.77374,7496.894366
0.25,7.440433251,4726.399222,9445.476095,14073.86987,16679.1713,16340.68571,14176.39952,11141.60406,7557.592674
