h,MPASize_1,MPASize_2,MPASize_5,MPASize_10,MPASize_15,MPASize_20
0,0,0,0,0,0,0
0.01,4139.218426,4141.550267,4144.933671,4146.570454,4147.141883,3801.450792
0.02,7658.126863,7663.577304,7671.736138,7675.792875,7677.211587,7037.205532
0.03,10648.29993,10652.37682,10658.89992,10662.50405,10663.77388,9774.911773
0.04,13184.41427,13177.97064,13168.54336,13164.99596,13163.78901,12067.00625
0.05,15328.03022,15297.80205,15249.49232,15227.67588,15220.12448,13953.04228
0.06,17130.4096,17059.4956,16939.27126,16882.43949,16862.71012,15460.78504
0.07,18634.64121,18502.95425,18265.14232,18148.68488,18108.18619,16605.95035
0.08,19877.26586,19662.00235,19244.22576,19031.58721,18957.5068,17390.1202
0.09,20889.54044,20565.75181,19882.75348,19517.91571,19390.46992,17795.94406
0.1,21698.44176,21239.84558,20175.08068,19569.35855,19356.81411,17779.35049
0.11,22327.48167,21707.68888,20105.40052,19120.7578,18773.02017,17266.85485
0.12,22797.37988,21991.67984,19658.84637,18109.30842,17559.05318,16187.97575
0.13,23126.6215,22114.29438,18840.71393,16510.32109,15677.38415,14510.4564
0.14,23331.91134,22098.73707,17685.9984,14365.22397,13177.51654,12278.28016
0.15,23428.52791,21968.89924,16280.36008,12027.43844,10533.7567,9905.996729
0.16,23430.57833,21748.65338,14818.61426,9965.982037,8278.007034,7870.741617
0.17,23351.15887,21460.84081,13502.91768,8329.149992,6535.937945,6291.473011
0.18,23202.434,21126.35364,12414.23092,7116.513288,5287.222975,5152.882877
0.19,22995.65466,20763.50361,11553.20154,6278.882843,4462.714817,4394.923827
0.2,22741.14106,20387.6827,10898.38936,5734.558796,3956.965709,3924.902472
0.21,22448.25439,20011.25171,10414.84623,5388.463173,3655.654987,3641.240425
0.22,22125.37653,19643.60091,10060.78593,5165.212673,3473.784917,3467.630552
0.23,21779.90957,19291.35757,9798.785881,5015.494469,3359.109925,3356.671705
0.24,21418.2995,18958.72619,9600.343367,4909.69966,3282.146785,3281.317233
0.25,21046.08285,18647.92564,9445.476095,4830.620813,3226.725828,3226.572154
