h,Agg_0.5,Agg_0.6,Agg_0.7,Agg_0.8,Agg_0.9,Agg_1,Agg_1.1,Agg_1.2,Agg_1.3,Agg_1.4,Agg_1.5,Agg_1.6,Agg_1.7,Agg_1.8,Agg_1.9,Agg_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,3215.742616,3387.211438,3457.116286,3486.211507,3496.389478,3497.171033,3493.188084,3486.859271,3479.504342,3471.860417,3464.340618,3457.171604,3450.470187,3444.287596,3438.635808,3433.503562
0.02,5697.111178,6187.113689,6395.019261,6492.718997,6539.164033,6559.344697,6565.344892,6563.526993,6557.437351,6549.12894,6539.817948,6530.231891,6520.803923,6511.785824,6503.315906,6495.460929
0.03,7373.725793,8394.089677,8830.923438,9045.335303,9157.937474,9218.020401,9248.985846,9263.102237,9267.252468,9265.486161,9260.266896,9253.12751,9245.034399,9236.59937,9228.207427,9220.09617
0.04,8161.511212,9974.617548,10767.58562,11160.82632,11375.49894,11498.92334,11571.40993,11613.79133,11637.71135,11650.05215,11655.05087,11655.39567,11652.82944,11648.49927,11643.16683,11637.33936
0.05,8049.482986,10869.80898,12188.90318,12845.22081,13207.38772,13422.11541,13555.059,13639.39303,13693.43773,13727.98019,13749.68002,13762.79817,13770.13629,13773.57529,13774.39788,13773.48886
0.06,7251.193281,11032.11547,13057.43144,14090.89133,14660.7116,15001.66029,15217.5771,15359.55494,15455.27998,15520.88034,15566.2717,15597.8054,15619.6811,15634.74609,15644.96949,15651.73477
0.07,6214.251598,10484.78467,13328.47397,14873.87219,15732.10188,16244.73093,16571.52008,16789.78665,16940.48601,17047.08599,17123.87204,17179.95236,17221.34763,17252.15335,17275.2205,17292.57151
0.08,5263.590631,9420.222778,12987.1555,15158.94838,16405.5726,17150.10232,17623.64122,17941.19264,18162.67781,18321.76441,18438.64698,18526.07976,18592.45072,18643.45695,18683.07009,18714.11899
0.09,4531.707169,8217.584902,12088.11128,14923.07487,16654.51103,17706.54527,18373.73711,18819.87706,19131.59828,19356.86053,19523.94235,19650.46566,19747.91376,19824.04293,19884.24668,19932.36629
0.1,4030.938206,7148.839919,10837.30228,14181.13818,16456.23434,17893.82393,18813.47258,19426.03924,19852.60341,20160.85471,20390.2045,20564.84665,20700.3539,20807.15091,20892.44389,20961.3478
0.11,3710.004961,6314.492846,9564.409928,13020.44006,15812.81916,17692.3483,18927.13367,19753.14381,20325.94863,20738.32563,21044.74954,21278.32224,21460.07382,21603.92328,21719.40868,21813.25815
0.12,3507.985723,5723.076842,8470.064014,11674.92996,14765.46288,17099.76762,18698.68729,19788.71152,20546.24766,21089.39512,21491.38943,21797.1385,22034.95671,22223.37579,22374.96338,22498.51005
0.13,3379.045476,5330.618355,7614.683623,10412.76501,13445.07221,16139.57601,18124.83744,19519.99824,20503.41724,21209.44285,21730.01936,22124.37593,22430.2687,22672.28958,22866.96216,23025.73632
0.14,3293.851839,5077.011097,6995.036105,9358.503495,12098.89061,14885.14966,17221.51555,18944.35661,20187.60074,21090.25751,21756.57225,22259.67436,22648.41152,22955.03824,23201.18666,23401.7389
0.15,3234.892978,4912.526319,6570.524701,8536.655064,10910.13349,13520.28077,16034.35962,18074.226,19597.49126,20724.52237,21564.40094,22199.42259,22688.78757,23073.41195,23381.20504,23631.39489
0.16,3192.011227,4803.244606,6286.238456,7933.582942,9937.640661,12251.28103,14690.23219,16941.56558,18743.9035,20112.51435,21148.46865,21938.37824,22548.22721,23026.63113,23408.27724,23717.55643
0.17,3159.314925,4727.895685,6094.923191,7509.932983,9182.057539,11175.11549,13384.56651,15634.89322,17651.52278,19264.33236,20510.6478,21473.59359,22222.83329,22812.01549,23281.52968,23661.04972
0.18,3133.315876,4673.658316,5963.071916,7216.726661,8622.914243,10305.9724,12242.05897,14323.52916,16385.2942,18200.45335,19660.7436,20808.41539,21711.5901,22427.01426,22998.86564,23461.02476
0.19,3111.88407,4632.896179,5868.905745,7011.940858,8221.877006,9632.903902,11294.83726,13144.34882,15087.36625,16971.58995,18616.60241,19952.51219,21019.11021,21872.38232,22559.10578,23116.09303
0.2,3093.674681,4601.014507,5798.856739,6865.244619,7935.992015,9131.203696,10536.26986,12147.03226,13894.36931,15697.43724,17420.32201,18921.9828,20154.9427,21153.73044,21964.57675,22626.45809
0.21,3077.811014,4575.180243,5744.611845,6756.440737,7729.374573,8764.364039,9950.312451,11329.6419,12868.70528,14507.31203,16174.82485,17753.77889,19133.99095,20280.44535,21221.58986,21995.7622
0.22,3063.704521,4553.593122,5701.052841,6672.612196,7576.021094,8495.554136,9509.812101,10679.60755,12014.2557,13470.25751,14999.16199,16538.91161,17990.36177,19266.64214,20339.31952,21230.72539
0.23,3050.949405,4535.074007,5664.962803,6605.637465,7458.340449,8295.054769,9181.340029,10177.53798,11319.63887,12595.73736,13963.81557,15385.50566,16806.81065,18145.26609,19331.46528,20340.28645
0.24,3039.258991,4518.828652,5634.261413,6550.394556,7364.846998,8141.386711,8934.175515,9795.78962,10770.11922,11873.17482,13082.40967,14361.83042,15680.86195,16993.33002,18231.16023,19338.1465
0.25,3028.42619,4504.308418,5607.562155,6503.591986,7288.152417,8019.862595,8744.326755,9505.159955,10343.95009,11290.07122,12345.2744,13483.77286,14676.32894,15898.37125,17111.18677,18258.75229
